phonome1,phonome2,distance
sp,by,56.697911399999995
sp,ch,56.4952408
sp,d,59.33837079999999
sp,dy,71.472679
sp,f,57.551512
sp,g,58.422204
sp,gy,59.508931
sp,h,57.47285999999999
sp,hy,61.4902922
sp,j,58.113432599999996
sp,k,55.613234399999996
sp,ky,56.1257558
sp,m,58.80295259999999
sp,my,63.03477
sp,n,59.996249
sp,ny,60.24426940000001
sp,p,55.88680260000001
sp,py,58.54064459999999
sp,r,58.2402414
sp,ry,62.117152999999995
sp,s,58.11605999999999
sp,sh,61.142185399999995
sp,sp,51.144595
sp,t,56.5163332
sp,ts,58.3011488
sp,w,60.296919
sp,y,59.0384184
sp,z,57.793486400000006
t,b,68.06103859999999
t,by,72.11576448000001
t,ch,66.78376352000001
t,d,65.69741472000001
t,dy,79.15493139999998
t,f,69.93984044
t,g,66.71067008
t,gy,66.56131568
t,h,68.10994867999999
t,hy,71.2373884
t,j,66.84130216000001
t,k,66.12459116
t,ky,65.61945148000001
t,m,72.72308823999998
t,my,76.72261232
t,n,68.10850576
t,ny,69.68517527999998
t,p,66.10743828
t,py,70.03506044
t,r,66.68317503999998
t,ry,69.55085259999998
t,s,67.43455324
t,sh,69.65082128000002
t,sp,67.79916
t,t,62.447603760000014
t,ts,66.58416096
t,w,73.842287
t,y,67.93255463999998
t,z,67.68686208000001
ts,b,69.17841587999999
ts,by,73.08096512
ts,ch,62.797918360000004
ts,d,66.9268102
ts,dy,77.9530254
ts,f,68.60552796000003
ts,g,65.87591256
ts,gy,65.94778535999997
ts,h,67.13588800000001
ts,hy,67.73728288000001
ts,j,64.20989092
ts,k,65.77354027999999
ts,ky,64.79211068000001
ts,m,72.7236116
ts,my,75.92531819999998
ts,n,66.81799936000002
ts,ny,68.35767251999998
ts,p,68.65892912000001
ts,py,70.50958103999999
ts,r,66.78280679999999
ts,ry,70.85086076000002
ts,s,61.73288407999998
ts,sh,64.02354835999999
ts,sp,66.60684799999999
ts,t,65.39244559999999
ts,ts,58.399477959999984
ts,w,74.70116304
ts,y,66.92086832000001
ts,z,62.16499468
w,b,71.66042012
w,by,77.3629744
w,ch,78.28484019999999
w,d,74.61698544000001
w,dy,86.79721280000001
w,f,71.7259134
w,g,71.47216123999999
w,gy,74.53149171999999
