phonon1,phonon2,distance
b-a:,r-a,59.932186
b-a:,r-a:,56.405973
b-a:,r-i,83.324662
b-a:,r-i:,83.575613
b-a:,r-u,72.643899
b-a:,r-u:,72.145004
b-a:,r-e,73.933278
b-a:,r-e:,77.119137
b-a:,r-o,65.342161
b-a:,r-o:,66.992733
b-a:,s-a,59.883016
b-a:,s-a:,56.230485
b-a:,s-i,83.436789
b-a:,s-i:,84.863755
b-a:,s-u,72.79744
b-a:,s-u:,75.337325
b-a:,s-e,75.587639
b-a:,s-e:,77.22391
b-a:,s-o,65.540034
b-a:,s-o:,66.726472
b-a:,t-a,59.918068
b-a:,t-a:,56.727077
b-a:,t-i,82.37985
b-a:,t-i:,84.863755
b-a:,t-u,71.634109
b-a:,t-u:,72.769189
b-a:,t-e,75.54536
b-a:,t-e:,79.393705
b-a:,t-o,65.540034
b-a:,t-o:,67.105275
b-a:,w-a,58.426095
b-a:,w-a:,56.415262
b-a:,w-i,82.814161
b-a:,w-i:,83.575613
b-a:,w-u,74.576002
b-a:,w-u:,76.364315
b-a:,w-e,75.251362
b-a:,w-e:,77.119137
b-a:,w-o,62.181778
b-a:,w-o:,66.835822
b-a:,z-a,60.190439
b-a:,z-a:,56.405973
b-a:,z-i,82.814161
b-a:,z-i:,83.575613
b-a:,z-u,74.470242
b-a:,z-u:,75.337325
b-a:,z-e,75.403741
b-a:,z-e:,77.247116
b-a:,z-o,65.811531
b-a:,z-o:,67.693248
b-a:,ts-a,59.883016
b-a:,ts-a:,56.230485
b-a:,ts-i,82.146677
b-a:,ts-i:,84.863755
b-a:,ts-u,73.679313
b-a:,ts-u:,75.337325
b-a:,ts-e,75.587639
b-a:,ts-e:,77.22391
b-a:,ts-o,66.430044
b-a:,ts-o:,67.105275
b-a:,N,66.9782
b-a:,q,73.755129
b-a:,sp,67.382
b-a:,a,60.685823
b-a:,a:,55.802277
b-a:,i,77.460145
b-a:,i:,84.863755
b-a:,u,68.689539
b-a:,u:,71.389915
b-a:,e,73.227824
b-a:,e:,71.867476
b-a:,o,65.40648
b-a:,o:,67.202159
b-i,b-a,91.95084
b-i,b-a:,90.6454
b-i,b-i,57.167099
b-i,b-i:,62.017748
b-i,b-u,72.370445
b-i,b-u:,73.445824
b-i,b-e,71.935292
b-i,b-e:,72.202736
b-i,b-o,75.287873
b-i,b-o:,82.600613
b-i,d-a,87.157357
b-i,d-a:,89.042753
b-i,d-i,57.167099
b-i,d-i:,62.017748
b-i,d-u,71.458669
b-i,d-u:,72.511391
b-i,d-e,73.906339
b-i,d-e:,72.202736
b-i,d-o,84.457293
b-i,d-o:,81.709711
b-i,f-a,82.643177
b-i,f-a:,90.6454
b-i,f-i,61.272484
b-i,f-i:,62.302828
b-i,f-u,71.273245
b-i,f-u:,73.445824
b-i,f-e,72.385222
b-i,f-e:,71.441122
b-i,f-o,75.22365
b-i,f-o:,83.454596
b-i,g-a,89.844713
b-i,g-a:,88.16344
b-i,g-i,60.056704
b-i,g-i:,64.377417
b-i,g-u,71.600954
b-i,g-u:,73.445824
b-i,g-e,69.95631
b-i,g-e:,71.132584
b-i,g-o,84.75195
b-i,g-o:,83.253473
b-i,h-a,82.643177
b-i,h-a:,84.015127
b-i,h-i,61.272484
b-i,h-i:,62.302828
b-i,h-u,72.157895
b-i,h-u:,73.445824
b-i,h-e,71.59845
b-i,h-e:,72.10271
b-i,h-o,75.22365
b-i,h-o:,83.454596
b-i,y-a,87.638443
b-i,y-a:,87.471853
b-i,y-i,62.306918
b-i,y-i:,64.119998
b-i,y-u,67.841288
b-i,y-u:,74.480798
b-i,y-e,71.969132
b-i,y-e:,71.701334
b-i,y-o,83.722522
b-i,y-o:,84.252353
b-i,k-a,86.929043
b-i,k-a:,83.828071
b-i,k-i,62.341459
b-i,k-i:,64.264526
b-i,k-u,72.607999
b-i,k-u:,73.445824
b-i,k-e,72.045852
b-i,k-e:,71.663896
b-i,k-o,74.961953
b-i,k-o:,82.690768
b-i,m-a,89.093174
b-i,m-a:,90.6454
b-i,m-i,60.765457
b-i,m-i:,61.633228
b-i,m-u,74.387366
b-i,m-u:,73.445824
b-i,m-e,73.85054
b-i,m-e:,72.914549
b-i,m-o,84.478389
b-i,m-o:,80.571901
b-i,n-a,86.394567
b-i,n-a:,89.042753
b-i,n-i,62.324671
b-i,n-i:,61.633228
b-i,n-u,70.926385
b-i,n-u:,72.511391
b-i,n-e,72.843856
b-i,n-e:,74.06119
b-i,n-o,84.831052
b-i,n-o:,80.920701
b-i,p-a,84.727839
b-i,p-a:,90.6454
b-i,p-i,58.440752
b-i,p-i:,62.302828
b-i,p-u,71.701936
b-i,p-u:,73.445824
b-i,p-e,73.447721
b-i,p-e:,71.441122
b-i,p-o,75.263791
b-i,p-o:,82.27262
b-i,r-a,89.816756
b-i,r-a:,88.16344
b-i,r-i,59.193924
b-i,r-i:,62.017748
b-i,r-u,71.966122
b-i,r-u:,73.021489
b-i,r-e,73.205406
b-i,r-e:,73.675814
b-i,r-o,84.223156
b-i,r-o:,85.3248
b-i,s-a,86.941191
b-i,s-a:,87.293957
b-i,s-i,61.272484
b-i,s-i:,62.302828
b-i,s-u,73.375549
b-i,s-u:,73.293927
b-i,s-e,74.107438
b-i,s-e:,72.91244
b-i,s-o,84.577578
b-i,s-o:,82.046311
b-i,t-a,87.674085
b-i,t-a:,88.082485
b-i,t-i,58.440752
b-i,t-i:,62.302828
b-i,t-u,72.946748
b-i,t-u:,72.511391
b-i,t-e,73.447721
b-i,t-e:,71.628729
b-i,t-o,84.577578
b-i,t-o:,82.246343
b-i,w-a,88.983876
b-i,w-a:,97.007672
b-i,w-i,57.167099
b-i,w-i:,62.017748
b-i,w-u,67.841288
b-i,w-u:,74.480798
b-i,w-e,71.969132
b-i,w-e:,73.675814
b-i,w-o,84.41874
b-i,w-o:,84.252353
b-i,z-a,87.449355
b-i,z-a:,88.16344
b-i,z-i,57.167099
b-i,z-i:,62.017748
b-i,z-u,74.618301
b-i,z-u:,73.293927
b-i,z-e,74.178582
b-i,z-e:,73.218694
b-i,z-o,83.260689
b-i,z-o:,82.713945
b-i,ts-a,86.941191
b-i,ts-a:,87.293957
b-i,ts-i,59.684721
b-i,ts-i:,62.302828
b-i,ts-u,73.484267
b-i,ts-u:,73.293927
b-i,ts-e,74.107438
b-i,ts-e:,72.91244
b-i,ts-o,83.636268
b-i,ts-o:,82.246343
b-i,N,70.19916
b-i,q,71.760521
b-i,sp,71.992395
b-i,a,79.425727
b-i,a:,83.828071
b-i,i,61.525698
b-i,i:,62.302828
b-i,u,71.236179
b-i,u:,73.445824
b-i,e,72.369688
b-i,e:,70.828063
b-i,o,73.978893
b-i,o:,79.858194
b-i:,b-a,90.054688
b-i:,b-a:,85.528179
b-i:,b-i,58.336093
b-i:,b-i:,53.97213
b-i:,b-u,71.920762
b-i:,b-u:,69.61509
b-i:,b-e,71.282143
b-i:,b-e:,67.734513
b-i:,b-o,72.381428
b-i:,b-o:,79.54292
b-i:,d-a,86.180489
b-i:,d-a:,84.58256
b-i:,d-i,58.336093
b-i:,d-i:,53.97213
b-i:,d-u,71.49153
b-i:,d-u:,68.846603
b-i:,d-e,72.376767
b-i:,d-e:,67.734513
b-i:,d-o,83.765343
b-i:,d-o:,79.754387
b-i:,f-a,82.508998
b-i:,f-a:,85.528179
b-i:,f-i,59.845178
b-i:,f-i:,54.950201
b-i:,f-u,71.403507
b-i:,f-u:,69.61509
b-i:,f-e,71.779201
b-i:,f-e:,67.053697
b-i:,f-o,72.700188
b-i:,f-o:,80.309925
b-i:,g-a,87.59544
b-i:,g-a:,84.322294
b-i:,g-i,58.562191
b-i:,g-i:,57.107989
b-i:,g-u,71.436769
b-i:,g-u:,69.61509
b-i:,g-e,66.871583
b-i:,g-e:,65.644832
b-i:,g-o,83.594272
b-i:,g-o:,79.873989
b-i:,h-a,82.508998
b-i:,h-a:,83.002114
b-i:,h-i,59.845178
b-i:,h-i:,54.950201
b-i:,h-u,71.948114
b-i:,h-u:,69.61509
b-i:,h-e,69.478213
b-i:,h-e:,66.738854
b-i:,h-o,72.700188
b-i:,h-o:,80.309925
b-i:,y-a,86.901416
b-i:,y-a:,84.069329
b-i:,y-i,60.227266
b-i:,y-i:,55.670266
b-i:,y-u,64.978974
b-i:,y-u:,71.270019
b-i:,y-e,69.452927
b-i:,y-e:,66.475804
b-i:,y-o,82.268029
b-i:,y-o:,80.627622
b-i:,k-a,86.108175
b-i:,k-a:,82.788642
b-i:,k-i,59.77604
b-i:,k-i:,57.227654
b-i:,k-u,72.254167
b-i:,k-u:,69.61509
b-i:,k-e,70.637399
b-i:,k-e:,66.266917
b-i:,k-o,72.699543
b-i:,k-o:,79.894266
b-i:,m-a,88.045808
b-i:,m-a:,85.528179
b-i:,m-i,61.02558
b-i:,m-i:,55.142356
b-i:,m-u,73.621471
b-i:,m-u:,69.61509
b-i:,m-e,71.560805
b-i:,m-e:,67.094362
b-i:,m-o,83.875311
b-i:,m-o:,78.604002
b-i:,n-a,84.768099
b-i:,n-a:,84.58256
b-i:,n-i,60.149236
b-i:,n-i:,55.142356
b-i:,n-u,69.508771
b-i:,n-u:,68.846603
b-i:,n-e,69.120517
b-i:,n-e:,67.013412
b-i:,n-o,82.874217
b-i:,n-o:,79.099417
b-i:,p-a,84.744198
b-i:,p-a:,85.528179
b-i:,p-i,59.02458
b-i:,p-i:,54.950201
b-i:,p-u,71.704872
b-i:,p-u:,69.61509
b-i:,p-e,72.06412
b-i:,p-e:,67.053697
b-i:,p-o,72.724866
b-i:,p-o:,79.35499
b-i:,r-a,87.795608
b-i:,r-a:,84.322294
b-i:,r-i,58.538964
b-i:,r-i:,53.97213
b-i:,r-u,73.067721
b-i:,r-u:,67.957092
b-i:,r-e,71.078111
b-i:,r-e:,67.162516
b-i:,r-o,83.577902
b-i:,r-o:,84.656702
b-i:,s-a,85.779149
b-i:,s-a:,84.199236
b-i:,s-i,59.845178
b-i:,s-i:,54.950201
b-i:,s-u,73.071452
b-i:,s-u:,69.991542
b-i:,s-e,73.594526
b-i:,s-e:,68.182336
b-i:,s-o,83.824874
b-i:,s-o:,79.884217
b-i:,t-a,86.424723
b-i:,t-a:,84.438769
b-i:,t-i,59.02458
b-i:,t-i:,54.950201
b-i:,t-u,72.285204
b-i:,t-u:,68.846603
b-i:,t-e,72.06412
b-i:,t-e:,67.023928
b-i:,t-o,83.824874
b-i:,t-o:,80.01718
b-i:,w-a,86.679862
b-i:,w-a:,87.616006
b-i:,w-i,58.336093
b-i:,w-i:,53.97213
b-i:,w-u,64.978974
b-i:,w-u:,71.270019
b-i:,w-e,69.452927
b-i:,w-e:,67.162516
b-i:,w-o,82.218654
b-i:,w-o:,80.627622
b-i:,z-a,86.93004
b-i:,z-a:,84.322294
b-i:,z-i,58.336093
b-i:,z-i:,53.97213
b-i:,z-u,73.161586
b-i:,z-u:,69.991542
b-i:,z-e,73.176694
b-i:,z-e:,68.390644
b-i:,z-o,82.916916
b-i:,z-o:,79.76421
b-i:,ts-a,85.779149
b-i:,ts-a:,84.199236
b-i:,ts-i,59.474159
b-i:,ts-i:,54.950201
b-i:,ts-u,72.651402
b-i:,ts-u:,69.991542
b-i:,ts-e,73.594526
b-i:,ts-e:,68.182336
b-i:,ts-o,83.045578
b-i:,ts-o:,80.01718
b-i:,N,69.271917
b-i:,q,71.80176
b-i:,sp,71.184519
b-i:,a,80.552214
b-i:,a:,82.788642
b-i:,i,60.252917
b-i:,i:,54.950201
b-i:,u,68.673954
b-i:,u:,69.61509
b-i:,e,72.061495
b-i:,e:,66.354945
b-i:,o,71.982057
b-i:,o:,78.752445
b-u,b-a,78.521134
b-u,b-a:,75.684957
b-u,b-i,73.42347
b-u,b-i:,75.523616
b-u,b-u,57.924794
b-u,b-u:,63.732488
b-u,b-e,70.536574
b-u,b-e:,74.486703
b-u,b-o,68.530405
b-u,b-o:,73.435611
b-u,d-a,76.546177
b-u,d-a:,75.292839
b-u,d-i,73.42347
b-u,d-i:,75.523616
b-u,d-u,59.679662
b-u,d-u:,65.47043
b-u,d-e,71.627108
b-u,d-e:,74.486703
b-u,d-o,71.432635
b-u,d-o:,71.992257
b-u,f-a,72.320671
b-u,f-a:,75.684957
b-u,f-i,73.282398
b-u,f-i:,75.632215
b-u,f-u,59.734117
b-u,f-u:,63.732488
b-u,f-e,71.956636
b-u,f-e:,74.184193
b-u,f-o,68.169752
b-u,f-o:,73.371501
b-u,g-a,77.279622
b-u,g-a:,75.141352
b-u,g-i,72.192399
b-u,g-i:,78.481309
b-u,g-u,59.020736
b-u,g-u:,63.732488
b-u,g-e,72.007581
b-u,g-e:,73.576619
b-u,g-o,71.510231
b-u,g-o:,72.848109
b-u,h-a,72.320671
b-u,h-a:,72.990241
b-u,h-i,73.282398
b-u,h-i:,75.632215
b-u,h-u,60.505925
b-u,h-u:,63.732488
b-u,h-e,70.851475
b-u,h-e:,73.264102
b-u,h-o,68.169752
b-u,h-o:,73.371501
b-u,y-a,77.216781
b-u,y-a:,75.479904
b-u,y-i,74.437379
b-u,y-i:,76.935907
b-u,y-u,64.387366
b-u,y-u:,69.006504
b-u,y-e,72.301593
b-u,y-e:,74.235586
b-u,y-o,73.563243
b-u,y-o:,75.026395
b-u,k-a,73.705132
b-u,k-a:,72.930322
b-u,k-i,73.791573
b-u,k-i:,78.912234
b-u,k-u,59.975007
b-u,k-u:,63.732488
b-u,k-e,72.782305
b-u,k-e:,72.996712
b-u,k-o,68.119707
b-u,k-o:,72.932765
b-u,m-a,75.870815
b-u,m-a:,75.684957
b-u,m-i,72.022721
b-u,m-i:,75.540256
b-u,m-u,63.258497
b-u,m-u:,63.732488
b-u,m-e,76.060587
b-u,m-e:,75.750089
b-u,m-o,75.686682
b-u,m-o:,72.582884
b-u,n-a,74.168568
b-u,n-a:,75.292839
b-u,n-i,72.788613
b-u,n-i:,75.540256
b-u,n-u,63.136292
b-u,n-u:,65.47043
b-u,n-e,73.476163
b-u,n-e:,76.265349
b-u,n-o,72.743865
b-u,n-o:,72.561409
b-u,p-a,72.919386
b-u,p-a:,75.684957
b-u,p-i,73.365835
b-u,p-i:,75.632215
b-u,p-u,59.202375
b-u,p-u:,63.732488
b-u,p-e,71.583926
b-u,p-e:,74.184193
b-u,p-o,68.371994
b-u,p-o:,73.631039
b-u,r-a,77.923414
b-u,r-a:,75.141352
b-u,r-i,73.085566
b-u,r-i:,75.523616
b-u,r-u,63.576222
b-u,r-u:,67.695967
b-u,r-e,69.969569
b-u,r-e:,75.615212
b-u,r-o,73.982296
b-u,r-o:,77.013377
b-u,s-a,75.235273
b-u,s-a:,73.700061
b-u,s-i,73.282398
b-u,s-i:,75.632215
b-u,s-u,63.333561
b-u,s-u:,65.665788
b-u,s-e,70.25775
b-u,s-e:,71.429742
b-u,s-o,71.318652
b-u,s-o:,71.607969
b-u,t-a,75.885753
b-u,t-a:,73.817424
b-u,t-i,73.365835
b-u,t-i:,75.632215
b-u,t-u,61.980993
b-u,t-u:,65.47043
b-u,t-e,71.583926
b-u,t-e:,72.659877
b-u,t-o,71.318652
b-u,t-o:,71.441859
b-u,w-a,77.43125
b-u,w-a:,81.897611
b-u,w-i,73.42347
b-u,w-i:,75.523616
b-u,w-u,64.387366
b-u,w-u:,69.006504
b-u,w-e,72.301593
b-u,w-e:,75.615212
b-u,w-o,73.05596
b-u,w-o:,75.026395
b-u,z-a,76.020013
b-u,z-a:,75.141352
b-u,z-i,73.42347
b-u,z-i:,75.523616
b-u,z-u,63.303494
b-u,z-u:,65.665788
b-u,z-e,71.593791
b-u,z-e:,72.528939
b-u,z-o,69.894284
b-u,z-o:,71.714645
b-u,ts-a,75.235273
b-u,ts-a:,73.700061
b-u,ts-i,71.828209
b-u,ts-i:,75.632215
b-u,ts-u,63.000392
b-u,ts-u:,65.665788
b-u,ts-e,70.25775
b-u,ts-e:,71.429742
b-u,ts-o,70.111455
b-u,ts-o:,71.441859
b-u,N,64.972474
b-u,q,71.078199
b-u,sp,69.506059
b-u,a,74.474479
b-u,a:,72.930322
b-u,i,71.260646
b-u,i:,75.632215
b-u,u,64.119925
b-u,u:,63.732488
b-u,e,69.772987
b-u,e:,71.531235
b-u,o,68.94967
b-u,o:,72.272708
b-u:,b-a,78.317029
b-u:,b-a:,73.805048
b-u:,b-i,73.015806
b-u:,b-i:,71.622529
b-u:,b-u,62.164007
b-u:,b-u:,56.58714
b-u:,b-e,71.909787
b-u:,b-e:,73.320751
b-u:,b-o,70.075473
b-u:,b-o:,73.290163
b-u:,d-a,77.011945
b-u:,d-a:,73.318936
b-u:,d-i,73.015806
b-u:,d-i:,71.622529
b-u:,d-u,61.928341
b-u:,d-u:,61.040479
b-u:,d-e,73.580453
b-u:,d-e:,73.320751
b-u:,d-o,72.993552
b-u:,d-o:,71.756589
b-u:,f-a,72.279248
