phonon1,phonon2,distance
b+u,t+i,68.845037
b+u,t+u,67.935291
b+u,t+e,68.745948
b+u,t+o,66.73921
b+u,w+a,68.024519
b+u,w+i,68.003361
b+u,w+u,68.024519
b+u,w+e,68.003361
b+u,w+o,68.024519
b+u,y+a,67.15295
b+u,y+i,67.724155
b+u,y+u,67.724155
b+u,y+e,67.199758
b+u,y+o,67.199758
b+u,z+a,63.227504
b+u,z+i,63.297091
b+u,z+u,63.297091
b+u,z+e,63.263567
b+u,z+o,63.148276
b+u,by+a,65.127744
b+u,by+i,64.906166
b+u,by+u,64.906166
b+u,by+e,64.90253
b+u,by+o,64.90253
b+u,ch+a,67.432755
b+u,ch+i,66.748952
b+u,ch+u,66.749381
b+u,ch+e,67.495542
b+u,ch+o,67.348323
b+u,dy+a,77.059467
b+u,dy+i,77.059467
b+u,dy+u,77.059467
b+u,dy+e,77.059467
b+u,dy+o,77.059467
b+u,gy+a,64.140618
b+u,gy+i,64.232173
b+u,gy+u,64.232173
b+u,gy+e,64.108278
b+u,gy+o,64.108278
b+u,hy+a,69.429707
b+u,hy+i,69.482165
b+u,hy+u,69.482165
b+u,hy+e,69.470152
b+u,hy+o,69.470152
b+u,ky+a,67.23323
b+u,ky+i,67.235341
b+u,ky+u,67.235341
b+u,ky+e,67.202862
b+u,ky+o,67.202862
b+u,my+a,66.746053
b+u,my+i,66.748744
b+u,my+u,66.748744
b+u,my+e,66.748735
b+u,my+o,66.748735
b+u,ny+a,65.114446
b+u,ny+i,65.105286
b+u,ny+u,65.105286
b+u,ny+e,65.114446
b+u,ny+o,65.114446
b+u,py+a,71.438085
b+u,py+i,71.5419
b+u,py+u,71.5419
b+u,py+e,71.352522
b+u,py+o,71.352522
b+u,ry+a,63.859297
b+u,ry+i,63.849442
b+u,ry+u,63.849442
b+u,ry+e,63.859297
b+u,ry+o,63.859297
b+u,sh+a,68.430348
b+u,sh+i,68.425563
b+u,sh+u,69.725567
b+u,sh+e,68.426866
b+u,sh+o,69.723378
b+u,ts+a,66.906657
b+u,ts+i,66.905754
b+u,ts+u,66.906657
b+u,ts+e,66.905754
b+u,ts+o,66.888335
b+u,sp,68.263221
b+e,b+a,64.784041
b+e,b+i,61.260856
b+e,b+u,63.619609
b+e,b+e,58.290972
b+e,b+o,64.660384
b+e,d+a,63.885065
b+e,d+i,61.647926
b+e,d+u,63.561327
b+e,d+e,62.0743
b+e,d+o,64.001444
b+e,f+a,72.514707
b+e,f+i,69.656184
b+e,f+u,71.381329
b+e,f+e,69.656184
b+e,f+o,72.514707
b+e,g+a,65.689315
b+e,g+i,64.445213
